,0,Rank,Ports,Domestic Loaded,Domestic Unloaded,Total Domestic,Ports,International Loaded,International Unloaded,International Total,Ports,Domestic and International Loaded,Domestic and International  Unloaded,Domestic and International   Total
43,42.0,39,Picton (ON),315,121,436,Clarkson (ON),197,331,529,Port Mcnell (BC),"1,572",0,"1,572"
44,43.0,40,Nanaimo (BC),40,390,429,Texada Island (BC),191,0,191,Iles-de-la-Madeleine (QU),"1,315",147,"1,462"
45,44.0,41,Bowmanville (ON),12,318,330,Kitimat (BC),152,917,"1,069",Bowmanville (ON),885,521,"1,406"
46,45.0,42,Sydney (NS),0,276,276,Havre-St-Pierre (QU),107,1,108,Port Alberni (BC),"1,123",283,"1,406"
47,46.0,43,Cape Porcupine (NF),261,0,261,Matane (QC),78,10,88,St. John's (NF),290,"1,076","1,366"
48,47.0,44,Port Hawkesbury (NS),168,0,168,Sydney (NS),62,"1,488","1,551",Texada Island (BC),"1,282",0,"1,282"
49,48.0,45,Belledune (NB),84,43,127,Côte-Ste-Catherine,46,187,233,Kitimat (BC),159,917,"1,076"
50,49.0,46,Squamish (BC),51,0,51,Toronto (ON),4,536,540,Squamish (BC),"1,004",14,"1,018"
51,50.0,47,Kitimat (BC),7,0,7,Howe Sound (BC),4,37,41,Campbell River (BC),917,0,917
52,51.0,48,Prince Rupert (BC),0,0,0,St. John's (NF),2,7,8,Côte-Ste-Catherine,108,692,800
53,52.0,49,Port-Alfred (QU),0,0,0,Port-Alfred (QU),0,"4,806","4,806",Picton (ON),616,181,797
54,53.0,50,Port Mcnell (BC),0,0,0,Colborne (ON),0,0,0,Matane (QC),165,553,717
55,54.0,,Sub-total,"58,825.10","56,803.20","115,628.30",Sub-total,"223,194.00","110,510.80","333,704.80",Sub-total,"282,019.10","167,314.00","449,333.10"
56,55.0,,Other ports,"3,580.90","5,397.70","8,978.60",Other ports,"4,082.50","3,754.80","7,837.30",Other ports,"7,663.30","9,152.50","16,815.80"
57,56.0,,Grand total,"62,406.00","62,200.90","124,606.90",Grand total,"227,276.50","114,265.60","341,542.00",Grand total,"289,682.40","176,466.50","466,148.90"
