,Rank,Country,Exports Metric Tons 2012,Exports metric tons 2011,Percent Change in metric tons in exports,Country,Metric tons imports 2011,Metric tons imports 2010,Percent change imports metric tons 2011 to 2010,Country,2012 total metric tons,2011 total metric tons,Percent change total metric tons
17,13,Saudi Arabia,"$13,704.00","$10,945.00",25.2%,Taiwan,$22.48,$20.73,,Taiwan,"$33,900.00","$32,886.00",3.1%
18,14,Singapore,"$13,401.00","$13,314.00",0.7%,Italy,$20.52,$18.85,,Canada,"$31,894.00","$32,259.00",-1.1%
19,15,Taiwan,"$11,421.00","$12,153.00",-6.0%,Colombia,$20.23,$19.69,,Colombia,"$31,541.00","$29,881.00",5.6%
20,16,Colombia,"$11,315.00","$10,192.00",11.0%,Iraq,$19.24,$16.94,,Italy,"$27,648.00","$26,460.00",4.5%
21,17,India,"$10,391.00","$11,461.00",-9.3%,Nigeria,$19.09,$33.70,,France,"$26,987.00","$23,893.00",13.0%
22,18,France,"$10,187.00","$8,449.00",20.6%,Vietnam,$18.17,$15.97,,Australia,"$26,410.00","$22,983.00",14.9%
23,19,United Arab Emirates,"$9,177.00","$7,260.00",26.4%,France,$16.80,$15.44,,Nigeria,"$23,525.00","$37,850.00",-37.8%
24,20,Turkey,"$9,138.00","$9,972.00",-8.4%,Indonesia,$16.02,$17.07,,Belgium,"$23,203.00","$22,201.00",4.5%
25,21,Hong Kong,"$8,538.00","$8,562.00",-0.3%,Thailand,$14.97,$14.77,,Chile,"$21,955.00","$19,897.00",10.3%
26,22,Panama,"$8,139.00","$6,722.00",21.1%,Kuwait,$12.99,$7.79,,Indonesia,"$21,539.00","$22,377.00",-3.7%
27,23,Canada,"$8,121.00","$8,197.00",-0.9%,Netherlands,$12.73,$12.55,,Vietnam,"$21,431.00","$19,388.00",10.5%
28,24,Peru,"$7,464.00","$6,615.00",12.8%,Malaysia,$10.59,$10.33,,Iraq,"$20,571.00","$18,717.00",9.9%
29,25,Italy,"$7,126.00","$7,609.00",-6.4%,Algeria,$9.99,$14.58,,Thailand,"$20,341.00","$19,763.00",2.9%
30,,Top 25,"$440,819.00","$417,135.00",5.7%,Top,25,$984.75,$945.13,Top 25,"$1,385,430.00","$1,323,834.00",4.7%
31,,Other,"$151,303.00","$153,151.00",5.7%,Other,$205.37,213.971,,Other,"$396,817.00","$405,548.00",-2.2%
33,,GRAND TOTAL,"$592,122.00","$570,286.00",3.8%, Grand total,,$1.190.125,$1.159.096,GRAND TOTAL,"$1,782,247.00","$1,729,382.00",3.1%
